Feature,Importance_Mean,Importance_Std
Destination Port,0.0011378809965654879,7.157287004656124e-05
Init_Win_bytes_forward,8.985252340290017e-05,3.622951514465672e-05
FIN Flag Count,5.859489402915141e-05,0.0
Init_Win_bytes_backward,3.906112668214945e-05,2.1394158851597914e-05
Bwd Header Length,1.9530868448303096e-05,0.0
Bwd Packet Length Min,1.9530868448303096e-05,0.0
Fwd Header Length.1,1.9530868448303096e-05,0.0
Subflow Fwd Bytes,1.9530868448303096e-05,0.0
URG Flag Count,1.5624847334616553e-05,1.4615808306944267e-05
Bwd Packets/s,1.5624694758642477e-05,7.812347379321239e-06
Total Length of Bwd Packets,1.5624694758642477e-05,7.81234737932124e-06
Total Backward Packets,1.5624694758642477e-05,7.812347379321239e-06
Fwd Packet Length Mean,1.5624694758642477e-05,7.812347379321239e-06
ACK Flag Count,1.5624694758642477e-05,7.812347379321239e-06
Packet Length Mean,1.5624694758642477e-05,7.812347379321239e-06
Average Packet Size,1.5624694758642477e-05,7.81234737932124e-06
Avg Fwd Segment Size,1.5624694758642477e-05,7.812347379321239e-06
Max Packet Length,1.5624694758642477e-05,7.812347379321239e-06
Subflow Bwd Bytes,1.5624694758642477e-05,7.81234737932124e-06
Subflow Bwd Packets,1.5624694758642477e-05,7.812347379321239e-06
Bwd IAT Mean,1.1718521068981857e-05,9.568132386353208e-06
Fwd Packet Length Max,1.1718521068981857e-05,9.568132386353208e-06
Bwd Packet Length Max,1.1718521068981857e-05,9.568132386353208e-06
Bwd IAT Min,1.1718521068981857e-05,9.568132386353208e-06
Fwd Header Length,1.1718521068981857e-05,9.568132386353208e-06
Bwd IAT Total,1.1718521068981857e-05,9.568132386353208e-06
Fwd IAT Total,1.1718521068981857e-05,9.568132386353208e-06
Fwd IAT Mean,1.1718521068981857e-05,9.568132386353208e-06
Flow Bytes/s,1.1718521068981857e-05,9.568132386353208e-06
Bwd IAT Max,7.812805062523687e-06,1.5623893819322856e-05
Active Max,7.812347379321239e-06,9.568132386353208e-06
Min Packet Length,7.812347379321239e-06,9.568132386353208e-06
Flow IAT Min,7.812347379321239e-06,9.568132386353208e-06
min_seg_size_forward,7.812347379321239e-06,9.568132386353208e-06
Bwd Packet Length Std,7.812347379321239e-06,9.568132386353208e-06
Fwd Packet Length Min,7.812347379321239e-06,9.568132386353208e-06
Flow IAT Max,3.906631381811465e-06,7.812118583523976e-06
Flow Duration,3.906631372863067e-06,1.461482972429198e-05
Packet Length Variance,3.906173689660619e-06,7.812347379321239e-06
Packet Length Std,3.906173689660619e-06,7.81234737932124e-06
Total Fwd Packets,3.906173689660619e-06,7.812347379321239e-06
Bwd Packet Length Mean,3.906173689660619e-06,7.812347379321239e-06
Down/Up Ratio,3.906173689660619e-06,7.81234737932124e-06
Avg Bwd Segment Size,3.906173689660619e-06,7.812347379321239e-06
Flow Packets/s,1.830759654986025e-09,1.2351682147588349e-05
Total Length of Fwd Packets,0.0,0.0
Fwd Packet Length Std,0.0,0.0
RST Flag Count,0.0,0.0
Bwd PSH Flags,0.0,0.0
Fwd PSH Flags,0.0,0.0
Bwd URG Flags,0.0,0.0
SYN Flag Count,0.0,0.0
Fwd Packets/s,0.0,0.0
Bwd IAT Std,0.0,0.0
Fwd IAT Min,0.0,0.0
Fwd IAT Max,0.0,0.0
Flow IAT Mean,0.0,0.0
Flow IAT Std,0.0,0.0
Fwd IAT Std,0.0,0.0
Fwd URG Flags,0.0,0.0
ECE Flag Count,0.0,0.0
PSH Flag Count,0.0,0.0
Bwd Avg Bulk Rate,0.0,0.0
Bwd Avg Packets/Bulk,0.0,0.0
Bwd Avg Bytes/Bulk,0.0,0.0
Fwd Avg Bulk Rate,0.0,0.0
Fwd Avg Packets/Bulk,0.0,0.0
Fwd Avg Bytes/Bulk,0.0,0.0
CWE Flag Count,0.0,0.0
Subflow Fwd Packets,0.0,0.0
act_data_pkt_fwd,0.0,0.0
Active Mean,0.0,0.0
Active Std,0.0,0.0
Active Min,0.0,0.0
Idle Mean,0.0,0.0
Idle Std,0.0,0.0
Idle Max,0.0,0.0
Idle Min,0.0,0.0
